Tarragona,41.09921456520914,1.2185627020492376,30/04/2015,vilaweb
Reus,41.14961710680786,1.1588074571628273,30/04/2015,vilaweb
Barcelona,41.36949149758689,2.179724886223623,30/04/2015,vilaweb
Barcelona,41.36949149758689,2.179724886223623,30/04/2015,vilaweb
Madrid,40.4165,-3.70256,30/04/2015,vilaweb
Moscou,55.75222,37.61556,30/04/2015,vilaweb
Born,51.03167,5.80972,30/04/2015,vilaweb
Lleida,41.63627040575502,0.4234870279520595,30/04/2015,vilaweb
Ushuaia,-54.8,-68.3,02/05/2015,vilaweb
Nova York,40.71427,-74.00597,02/05/2015,vilaweb
Barcelona,41.36949149758689,2.179724886223623,01/05/2015,vilaweb
Verdú,41.25908773660376,0.9731090245174254,01/05/2015,vilaweb
Viana,-20.39028,-40.49611,01/05/2015,vilaweb
Valls,42.43295420712084,1.8401831023494695,01/05/2015,vilaweb
Sant Feliu de Guíxols,41.7849467949923,3.0300857259402525,02/05/2015,vilaweb
Pàmies,41.387874850193846,1.0241281199336567,02/05/2015,vilaweb
Ripollet,41.500840925919206,2.1577010985892313,02/05/2015,vilaweb
Barcelona,41.36949149758689,2.179724886223623,02/05/2015,vilaweb
Roma,41.829779913053194,0.7155699444750154,02/05/2015,vilaweb
Màlaga,36.72016,-4.42034,01/05/2015,vilaweb
Madrid,40.4165,-3.70256,01/05/2015,vilaweb
Worcester,42.26259,-71.80229,01/05/2015,vilaweb
Londres,51.50853,-0.12574,01/05/2015,vilaweb
París,41.70341395366466,1.8377645720709908,01/05/2015,vilaweb
Torí,45.07049,7.68682,01/05/2015,vilaweb
Barcelona,41.36949149758689,2.179724886223623,01/05/2015,vilaweb
Manhattan,39.18361,-96.57167,01/05/2015,vilaweb
Drama,41.15283,24.1473,01/05/2015,vilaweb
Roma,41.829779913053194,0.7155699444750154,01/05/2015,vilaweb
Clive,41.60304,-93.72411,01/05/2015,vilaweb
Man,7.41251,-7.55383,01/05/2015,vilaweb
Banyoles,42.131452226243994,2.756796918678767,02/05/2015,vilaweb
Torelló,42.22421488956846,2.483801321605614,02/05/2015,vilaweb
Barcelona,41.36949149758689,2.179724886223623,02/05/2015,vilaweb
Berga,40.64987464733573,0.3766837952102393,03/05/2015,regio7
Cardona,40.90615465379194,0.3190886215076536,03/05/2015,regio7
Cercs,42.147684922314895,1.8623489528243051,03/05/2015,regio7
Solsona,42.3652902069682,1.449173791200051,03/05/2015,regio7
Igualada,41.719315472200606,1.8074237008377174,03/05/2015,regio7
Puigcerdà,42.434718195673824,1.9289011863736694,03/05/2015,regio7
Rochester,43.30453,-70.97562,03/05/2015,vilaweb
Londres,51.50853,-0.12574,03/05/2015,vilaweb
